招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
AutoML算法工程师,字节跳动,北京,民营公司,4-7万/月,下午茶 健身瑜伽 六险一金 五险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿,10000人以上,互联网/电子商务,无需经验,本科,招1人,4,7
软件工程师,深圳创维-RGB电子有限公司,深圳,合资,0.8-1万/月,五险一金 绩效奖金 餐饮补贴 通讯补贴 带薪年假 节日福利 年终奖金 定期体检 补充医疗保险,10000人以上,家具/家电/玩具/礼品,校招,本科,招2人,0.8,1
初级游戏策划（免费培训）,乐堂控股集团,合肥,民营公司,6-8千/月,五险一金 员工旅游 年终奖金 绩效奖金 专业培训 定期体检 餐饮补贴 周末双休 包吃 节日福利,500-1000人,计算机软件,校招,大专,招20人,0.6,0.8
软件工程师,冲电气软件技术(江苏)有限公司,常州,外资（非欧美）,6-8千/月,五险一金 员工旅游 餐饮补贴 交通补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 定期体检,150-500人,计算机软件,校招,本科,招20人,0.6,0.8
软件开发工程师,合肥中车轨道交通车辆有限公司,合肥,国企,1-1.5万/月,五险一金 周末双休 定期体检 专业培训 交通补贴 员工旅游 补充医疗保险 年终奖金,150-500人,机械/设备/重工,校招,本科,招1人,1,1.5
机器视觉工程师,励元科技（上海）有限公司,上海,民营公司,1.5-2.2万/月,五险一金 员工旅游 通讯补贴 绩效奖金 年终奖金 定期体检 出国机会,150-500人,计算机软件,无需经验,本科,招1人,1.5,2.2
软件开发工程师,上海宝信软件股份有限公司厦门分公司,福州,上市公司,5-8千/月,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,50-150人,计算机软件,校招,本科,招2人,0.5,0.8
Android实习开发工程师,广州飞磨科技有限公司,广州,民营公司,4-8千/月,五险一金 专业培训 节日福利 下午茶 餐补 生日福利 年终奖金 带薪年假 周末双休,少于50人,互联网/电子商务,校招,大专,招若干人,0.4,0.8
软件助理工程师 (MJ000136),深圳市和合自动化有限公司,东莞,民营公司,6-8千/月,五险一金 年终奖金 岗位晋升 专业培训 绩效奖金 包三餐 包住宿,500-1000人,新能源,无需经验,大专,招3人,0.6,0.8
软件开发、实施,江苏国光信息产业股份有限公司,成都,国企,0.7-1万/月,五险一金 年终奖金 专业培训 餐饮补贴 周末双休 通讯补贴,1000-5000人,互联网/电子商务,无需经验,大专,招2人,0.7,1
软件助理工程师,深圳市明朗微科技有限公司,深圳,民营公司,0.8-1万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检,50-150人,电子技术/半导体/集成电路,校招,本科,招2人,0.8,1
H5游戏开发,必果文创（北京）科技有限公司,广州,民营公司,0.8-1.3万/月,五险一金 定期体检 周末双休 包餐 零食下午茶 不加班 管理轻松 年终奖金 团队稳定 氛围轻松,50-150人,网络游戏,无需经验,本科,招若干人,0.8,1.3
算法工程师（数据同化）双休,南京创蓝科技有限公司,南京,民营公司,1.3-2.3万/月,五险一金 交通补贴 通讯补贴 年终奖金 周末双休 定期调薪 工龄工资 专业培训 定期体检 员工旅游,50-150人,环保,校招,硕士,招2人,1.3,2.3
软件工程师,宁波东海蓝帆科技有限公司,宁波,合资,5-7千/月,五险一金 专业培训 定期体检 通讯补贴 补充医疗保险 员工旅游 交通补贴 餐饮补贴 年终奖金,150-500人,计算机软件,无需经验,本科,招10人,0.5,0.7
算法工程师（校园招聘）,北京理工大学重庆微电子中心,重庆,事业单位,1.5-3万/月,五险一金 餐饮补贴 专业培训 绩效奖金 定期体检,50-150人,电子技术/半导体/集成电路,校招,硕士,招若干人,1.5,3
