AI Software Solution Engineer,英特尔亚太研发有限公司,50-60万\/年,上海,外资（欧美）,"[""五险一金"",""免费班车"",""绩效奖金"",""年终奖金"",""股票期权"",""弹性工作""]",3-4年经验,本科,招2人,1000-5000人
软件工程师 (数字化设备 )_ATMO,博世（东海）汽车测试技术中心有限公司,1.4-2万\/月,苏州,外资（欧美）,"[""""]",3-4年经验,本科,招若干人,150-500人
高级客户端研发工程师（iOS）— 穿山甲,字节跳动,3-5万\/月,上海,民营公司,"[""下午茶"",""健身瑜伽"",""六险一金"",""团队氛围好"",""带薪休假"",""扁平管理"",""大牛带队"",""免费三餐"",""弹性工作"",""租房补贴""]",5-7年经验,本科,招5人,10000人以上
云智能-售后技术升级专家-杭州\/北京,阿里巴巴集团,,杭州,上市公司,"[""""]",5-7年经验,本科,招若干人,10000人以上
Algorithm Engineer(007OID),施耐德电气（中国）有限公司,30-40万\/年,北京,外资（欧美）,"[""""]",2年经验,本科,招1人,10000人以上
Web前端开发工程师,中国联合网络通信有限公司珠海市分公司,0.6-1万\/月,珠海-香洲区,国企,"[""五险一金"",""商业意外险"",""重疾险"",""餐饮补贴"",""交通补贴"",""通讯补贴"",""绩效奖金"",""年终奖金"",""定期体检"",""专业培训""]",无需经验,本科,招5人,500-1000人
iOS开发工程师,中软国际科技服务有限公司,1.5-2万\/月,深圳-龙岗区,合资,"[""""]",3-4年经验,本科,招若干人,10000人以上
软件工程师,华润江中制药集团有限责任公司,0.8-1.2万\/月,南昌-青山湖区,国企,"[""餐饮补贴"",""交通补贴"",""节日福利"",""通讯补贴"",""周末双休"",""年终奖金"",""五险一金"",""绩效奖金"",""定期体检""]",2年经验,本科,招1人,1000-5000人
AWS云架构师,印孚瑟斯技术（中国）有限公司,2-4万\/月,广州-天河区,外资（非欧美）,"[""五险一金"",""补充医疗保险"",""年终奖金"",""定期体检"",""周末双休""]",8-9年经验,本科,招若干人,1000-5000人
（高级）ESB开发工程师,比亚迪股份有限公司,1.5-2万\/月,西安-长安区,民营公司,"[""带薪年假"",""五险一金"",""专业培训"",""周末双休"",""福利房"",""话补"",""节日福利"",""新能源车补贴""]",5-7年经验,本科,招2人,10000人以上
